"filename","MLRA","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"K","A","mean",0.466040698495215,0.490854047602169,1.39819793718595,0.989182235756793,-0.00231641379391038,0.479641561737674,0.665400407405051
"K","A","sd",0.0505063236171207,0.0666005556817973,0.101434032599732,0.10412016041818,0.0243833564550381,0.0736054364325257,0.0502587737991887
"K","A","q25",0.433595385872787,0.44802951897716,1.32068807974853,0.915335410667178,-0.0202123052333001,0.425463019073811,0.627182573294
"K","A","med",0.461731254056807,0.479272614192837,1.38068549114679,0.983470714411846,-0.00370589135461929,0.474355275915908,0.663707206004314
"K","A","q75",0.50342687131389,0.534014118479402,1.4645455645398,1.04827046428661,0.0138164562571421,0.532752578472078,0.699828896595492
"K","A","q2.5",0.37657267252163,0.383840780603247,1.26101601376903,0.815193148386043,-0.0490332348432276,0.369853078105746,0.591367999639177
"K","A","q97.5",0.556243498513495,0.613736177334083,1.5982567029428,1.18040570827431,0.0453658254940174,0.607684661640227,0.765862378186513
"K","B","mean",2.23835633344721,0.605923199602736,1.3843416678037,0.397351720217531,0.0831635580362724,0.221807412062311,0.725554116174546
"K","B","sd",0.377130861415992,0.160192249729611,0.395253690680211,0.0837639607197776,0.236746058697632,0.797781122270297,0.128251063820894
"K","B","q25",1.93137697137408,0.561867810081854,1.04563758860978,0.331910253593945,-0.0860246402008428,0.0712633652596424,0.701413006974412
"K","B","med",2.21959042676389,0.646548480799793,1.47843489981967,0.370538153487426,0.0435169562371254,0.538571756429292,0.767407899792984
"K","B","q75",2.44203412268507,0.698259799007359,1.62988505690185,0.455449890263437,0.212934666890936,0.620346501241869,0.81141742141502
"K","B","q2.5",1.65152500816154,0.21400489307676,0.627071950755952,0.297323177098821,-0.32196923329431,-1.57460528930137,0.44908979915848
"K","B","q97.5",3.00554633681402,0.785729739296486,2.01721142115647,0.547787598790064,0.532836085270403,0.752108708492406,0.850852262183535
"K","C","mean",0.587688712752944,0.449963333454403,1.30614789783805,0.934404764211726,-0.013841534608918,0.393446837546835,0.634577198559822
"K","C","sd",0.0576068988758688,0.0804186803679629,0.123657862898919,0.120883252187758,0.0559104733951769,0.129831750840885,0.0611828396133307
"K","C","q25",0.554633001093954,0.410894199676605,1.24015880891351,0.84053479248756,-0.0571969352764089,0.346413124462829,0.600177853380328
"K","C","med",0.588377719128961,0.453072522378747,1.31497487779398,0.931483682302081,-0.0166286133075963,0.418682173324405,0.635915219150047
"K","C","q75",0.619427386511507,0.507654708584754,1.38829888080186,1.02378742732156,0.0332627656545715,0.478273749300665,0.679416356186964
"K","C","q2.5",0.458490550430441,0.279805258924141,1.02973923715161,0.734535512404582,-0.101792577171571,0.0487732145443263,0.520277858625727
"K","C","q97.5",0.679472585362454,0.573806771461304,1.50898351575977,1.17708499645523,0.0783113370875585,0.558460920992603,0.727588006150145
